"Movie1" "Movie2" "Movie3" "Movie4" "Movie5" "Movie6" "Movie7" "Movie8" "Movie9" "Movie10" "Movie11" "Movie12" "Movie13" "Movie14" "Movie15" "Movie16" "Movie17" "Movie18" "Movie19" "Movie20" "Movie21" "Movie22" "Movie23" "Movie24" "Movie25" "Movie26" "Movie27" "Movie28" "Movie29" "Movie30" "Movie31" "Movie32" "Movie33" "Movie34" "Movie35" "Movie36" "Movie37" "Movie38" "Movie39" "Movie40" "Movie41" "Movie42" "Movie43" "Movie44" "Movie45" "Movie46" "Movie47" "Movie48" "Movie49" "Movie50" "Movie51" "Movie52" "Movie53" "Movie54" "Movie55" "Movie56" "Movie57" "Movie58" "Movie59" "Movie60"
"User77" -1 -1 -1 -1 -1 -1 -1 5 5 6 -1 -1 -1 -1 -1 -1 5 5 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1
"User78" -1 -1 -1 6 -1 5 -1 -1 -1 6 5 5 -1 -1 -1 7 -1 -1 7 10 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 6 -1 -1
"User79" -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1
"User80" -1 -1 -1 6 8 -1 7 -1 6 -1 5 -1 6 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User81" -1 5 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User82" -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 6 8 -1 -1 6 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User83" -1 -1 9 -1 -1 -1 -1 6 -1 -1 8 -1 -1 -1 -1 10 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 6 3 -1 4 -1 -1 -1 -1 8 -1 10 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User84" -1 10 8 7 -1 -1 -1 6 -1 -1 9 5 -1 -1 8 -1 6 6 -1 -1 -1 -1 -1 -1 -1 7 -1 9 6 -1 -1 -1 -1 -1 -1 -1 -1 7 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 6 -1 -1 -1 -1 -1 8 -1 -1
"User85" -1 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 10 -1 -1 7 5 -1 6 -1 -1 -1 -1 -1 4 -1 -1 -1 -1 -1 -1 -1 6
"User86" -1 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 6 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 8 -1 -1 -1 -1 -1
"User87" 10 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 7 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 8 -1
"User88" -1 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 7 7 -1 -1 -1 7 -1 -1 6 8 8 -1 -1 -1 7 -1 -1 -1 7 8 -1 -1 -1 -1
"User89" -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 5 -1 -1 7 -1 -1 -1 9 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 6 -1 -1 -1 5 -1 -1 6 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7
"User90" -1 10 -1 -1 -1 -1 5 -1 -1 -1 9 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 3 3 -1 4 -1 -1 -1 -1 -1 -1 9 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 5 -1 9 -1 -1 -1 -1 -1 -1
"User91" -1 -1 6 -1 -1 5 -1 -1 -1 6 -1 -1 6 -1 7 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 6 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 5 5 -1 -1 -1 5 -1 -1 -1
"User92" -1 -1 -1 6 -1 5 -1 -1 7 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 10 -1 -1 8 -1 -1 8 -1 -1 -1 6 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
"User93" -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 10 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 10 10 9 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 10 -1 -1 9 -1 -1 -1
"User94" -1 -1 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 8 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8 9 -1 8 6
"User95" 6 -1 -1 -1 -1 6 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 8 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1
"User96" -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 6 6 7 -1 -1 -1 -1 -1 -1 -1 -1 4 -1 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 8 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1 -1 8 -1 -1 -1
"User97" -1 -1 -1 6 7 7 -1 6 6 -1 -1 5 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 -1 -1
"User98" -1 -1 6 -1 -1 6 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6 -1 -1 6 -1 -1 6 8 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 3 -1 -1 -1 -1 -1 8 -1 -1 6 -1 -1 -1 -1 -1 -1 -1
"User99" 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 3 -1 -1 2 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 1 -1 -1 -1 -1 5 8 -1 3 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1
"User100" -1 -1 -1 -1 -1 -1 -1 -1 9 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 5 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 7 -1 -1 -1 -1 7 3 -1 -1 -1 -1 -1 -1
